Ticker,TrailingEPS
NVDA,6.53
MSFT,16.81
AAPL,8.26
GOOGL,12.51
AMZN,8.37
META,27.51
AVGO,6.03
BMYMP,
TSLA,1.09
BRK-B,33.58
JPM,23.33
WMT,2.84
V,11.47
ORCL,5.83
LLY,28.18
NFLX,3.18
MA,17.26
XOM,5.94
JNJ,8.62
COST,19.86
HD,14.09
ABBV,2.04
PG,6.83
BAC,4.33
CVX,5.74
GE,8.47
KO,3.18
UNH,13.29
TMUS,9.41
CSCO,3.0
WFC,6.88
PM,7.1
AMD,3.01
CRM,8.63
MS,12.38
IBM,11.3
ABT,3.57
AXP,16.02
MCD,12.14
GS,64.74
LIN,15.1
DIS,6.25
MRK,3.55
T,2.97
RTX,5.33
PEP,7.63
CAT,20.09
NOW,1.68
INTU,16.39
VZ,4.1
TMO,18.2
ANET,2.85
BKNG,7.59
C,9.29
BA,2.53
QCOM,9.3
TXN,5.85
BLK,41.74
ISRG,8.73
SCHW,5.03
SPGI,15.83
BSX,2.39
ACN,12.52
TJX,5.14
AMGN,14.38
LOW,11.82
SYK,8.64
ADBE,17.48
MU,44.28
NEE,3.95
DHR,5.27
PGR,19.92
GILD,7.35
COF,3.24
PFE,1.31
HON,12.52
ETN,10.22
APH,3.48
UNP,12.16
LRCX,5.3
AMAT,10.66
DE,17.67
CMCSA,5.1
ADI,6.74
ADP,10.72
KLAC,3.53
MDT,3.73
COP,5.9
WELL,2.08
MO,4.79
SNPS,4.38
CB,28.29
NKE,2.1
LMT,20.64
INTC,-0.6
PLD,3.98
VRTX,16.87
SO,3.91
MMC,
ICE,6.88
HCA,29.05
SBUX,1.31
PH,27.12
BMY,3.57
RCL,16.4
CDNS,4.3
CME,11.72
CEG,11.51
DUK,6.49
CVS,2.28
AMT,6.2
SHW,10.41
TT,12.97
MCO,13.96
ORLY,3.07
WM,7.19
GD,15.9
MCK,38.36
NEM,7.71
NOC,31.48
MMM,5.19
CTAS,4.91
CI,23.59
PNC,18.17
AON,18.21
MDLZ,2.02
MSI,12.63
ITW,10.78
ECL,7.39
AJG,6.17
USB,5.01
EQIX,14.43
EMR,4.33
FI,
BK,8.06
UPS,6.18
MAR,9.54
HWM,4.31
RSG,6.96
TDG,32.01
ELV,22.59
AZO,145.45
WMB,2.28
ADSK,6.86
JCI,3.26
CL,2.58
SPG,14.37
ZTS,6.1
FCX,1.89
PYPL,5.33
