Ticker,MarketCap,CompanyName
NVDA,4066436186112,NVIDIA Corporation
MSFT,3679419105280,Microsoft Corporation
AAPL,3557095374848,Apple Inc.
GOOGL,2843006468096,Alphabet Inc.
AMZN,2477776175104,"Amazon.com, Inc."
META,1890259828736,"Meta Platforms, Inc."
AVGO,1575145177088,Broadcom Inc.
BMYMP,1288246919168,Bristol-Myers Squibb Company PFD CONV 2
TSLA,1131616796672,"Tesla, Inc."
BRK-B,1078403661824,Berkshire Hathaway Inc.
JPM,809471442944,JPMorgan Chase & Co.
WMT,801351204864,Walmart Inc.
V,666169442304,Visa Inc.
ORCL,653895598080,Oracle Corporation
LLY,651912544256,Eli Lilly and Company
NFLX,528531456000,"Netflix, Inc."
MA,528141877248,Mastercard Incorporated
XOM,465674797056,Exxon Mobil Corporation
JNJ,429720076288,Johnson & Johnson
COST,427281219584,Costco Wholesale Corporation
HD,417017397248,"The Home Depot, Inc."
ABBV,375499980800,AbbVie Inc.
PG,374826074112,The Procter & Gamble Company
BAC,368643899392,Bank of America Corporation
CVX,309597241344,Chevron Corporation
GE,296106688512,GE Aerospace
KO,292477403136,The Coca-Cola Company
UNH,285640523776,UnitedHealth Group Incorporated
TMUS,284461170688,"T-Mobile US, Inc."
CSCO,264469102592,"Cisco Systems, Inc."
WFC,252943630336,Wells Fargo & Company
PM,251467104256,Philip Morris International Inc.
AMD,245276049408,"Advanced Micro Devices, Inc."
CRM,238723514368,"Salesforce, Inc."
MS,236401983488,Morgan Stanley
IBM,231510409216,International Business Machines Corporation
ABT,231376764928,Abbott Laboratories
AXP,227010625536,American Express Company
MCD,224342818816,McDonald's Corporation
GS,223471665152,"The Goldman Sachs Group, Inc."
LIN,220162621440,Linde plc
DIS,211993935872,The Walt Disney Company
MRK,211586940928,"Merck & Co., Inc."
T,211580026880,AT&T Inc.
RTX,210846826496,RTX Corporation
PEP,200419622912,"PepsiCo, Inc."
CAT,198204096512,Caterpillar Inc.
NOW,189630873600,"ServiceNow, Inc."
INTU,187585576960,Intuit Inc.
VZ,187120287744,Verizon Communications Inc.
TMO,186011680768,Thermo Fisher Scientific Inc.
ANET,179543883776,Arista Networks Inc
BKNG,178442420224,Booking Holdings Inc.
C,175621865472,Citigroup Inc.
BA,173621444608,The Boeing Company
QCOM,172467372032,QUALCOMM Incorporated
TXN,170854121472,Texas Instruments Incorporated
BLK,170206674944,"BlackRock, Inc."
ISRG,167358562304,"Intuitive Surgical, Inc."
SCHW,167091011584,The Charles Schwab Corporation
SPGI,164269719552,S&P Global Inc.
BSX,158873239552,Boston Scientific Corporation
ACN,158796365824,Accenture plc
TJX,154988019712,"The TJX Companies, Inc."
AMGN,152700993536,Amgen Inc.
LOW,151405936640,"Lowe's Companies, Inc."
SYK,149982855168,Stryker Corporation
ADBE,148033077248,Adobe Inc.
MU,147020103680,"Micron Technology, Inc."
NEE,146003656704,"NextEra Energy, Inc."
DHR,143360770048,Danaher Corporation
PGR,142999502848,The Progressive Corporation
GILD,142755184640,"Gilead Sciences, Inc."
COF,141672202240,Capital One Financial Corporation
PFE,141456474112,Pfizer Inc.
HON,136026685440,Honeywell International Inc.
ETN,135877378048,Eaton Corporation plc
APH,134850617344,Amphenol Corporation
UNP,130652643328,Union Pacific Corporation
LRCX,130295570432,Lam Research Corporation
AMAT,129653481472,"Applied Materials, Inc."
DE,127935897600,Deere & Company
CMCSA,125202841600,Comcast Corporation
ADI,121547325440,"Analog Devices, Inc."
ADP,119880581120,"Automatic Data Processing, Inc."
KLAC,119436582912,KLA Corporation
MDT,119161905152,Medtronic plc
COP,116088971264,ConocoPhillips
